,word,type,antonyms
0,a la carte,adjective,table d'hote
1,a posteriori,adjective,a priori
2,a posteriori,adverb,a priori
3,a priori,adjective,a posteriori
4,a priori,adverb,a posteriori
5,abactinal,adjective,actinal
6,abaxial,adjective,adaxial
7,abbreviated,verb,expand
8,abducent,adjective,adducent
9,abducting,verb,adduct
10,abducting,adjective,adducent
11,abient,adjective,adient
12,able,adjective,unable
13,abnormal,adjective,normal|normal
14,aboral,adjective,oral
15,aboriginal,adjective,nonnative
16,above,adverb,below|below
17,aboveboard,adverb,dishonestly
18,abranchial,adjective,branchiate
19,abranchiate,adjective,branchiate
20,abranchious,adjective,branchiate
21,abridged,verb,expand
22,abridged,adjective,unabridged
23,absent,adjective,present
24,absolute,adjective,relative
25,absolved,verb,blame
26,absorbable,adjective,adsorbable
27,absorbed,verb,emit
28,absorbent,adjective,nonabsorbent
29,absorbing,verb,emit
30,absorptive,adjective,nonabsorbent
31,abstemious,adjective,gluttonous
32,abstinent,noun,drinker
33,abstract,adjective,concrete
34,abundant,adjective,scarce
35,abused,adjective,unabused
36,acarpellous,adjective,carpellate
37,acarpelous,adjective,carpellate
38,acatalectic,adjective,catalectic
39,acaudal,adjective,caudate
40,acaudate,adjective,caudate
41,acaulescent,adjective,caulescent
42,accelerated,verb,decelerate|decelerate
43,accented,adjective,atonic|unstressed
44,accentual,adjective,quantitative
45,acceptable,adjective,unacceptable
46,accepted,verb,reject|refuse|refuse
47,accepting,verb,reject|refuse|refuse
48,acceptive,adjective,rejective
49,accessible,adjective,inaccessible
50,accommodating,verb,disoblige
51,accommodating,adjective,unaccommodating
52,accommodative,adjective,unaccommodating
53,accompanied,adjective,unaccompanied|unaccompanied
54,accordant,adjective,discordant
55,accurate,adjective,inaccurate
56,accusatorial,adjective,inquisitorial
57,accustomed,adjective,unaccustomed
58,acellular,adjective,cellular
59,achlamydeous,adjective,chlamydeous
60,achondritic,adjective,chondritic
61,achromatic,adjective,chromatic
62,achromatinic,adjective,chromatinic
63,acid-loving,adjective,alkaline-loving
64,acidic,adjective,alkaline
65,acknowledged,verb,deny
66,acknowledged,adjective,unacknowledged
67,acquired,verb,lose
68,acquisitive,adjective,unacquisitive
69,acquitted,verb,convict
70,acrocarpous,adjective,pleurocarpous
71,acropetal,adjective,basipetal
72,acroscopic,adjective,basiscopic
73,actable,adjective,unactable
74,actinal,adjective,abactinal
75,acting,verb,refrain
76,actinomorphic,adjective,zygomorphic
77,actinomorphous,adjective,zygomorphic
78,activated,verb,inactivate
79,activating,verb,inactivate
80,active,noun,passive voice
81,active,adjective,inactive|passive|inactive|inactive|inactive|quiet|passive|stative|extinct|dormant|inactive
82,actual,adjective,potential
83,acute,adjective,chronic|obtuse
84,acyclic,adjective,cyclic|cyclic
85,adaptable,adjective,unadaptable
86,adaptative,adjective,maladaptive
87,adaptive,adjective,maladaptive
88,adaxial,adjective,abaxial
89,addicted,adjective,unaddicted
90,addictive,adjective,nonaddictive
91,additive,adjective,nonlinear|subtractive
92,addressed,adjective,unaddressed
93,adducent,adjective,abducent
94,adducting,verb,abduct
95,adducting,adjective,abducent
96,adductive,adjective,abducent
97,adequate,adjective,inadequate
98,adhesive,adjective,nonadhesive
99,adiabatic,adjective,diabatic
100,adient,adjective,abient
101,adjective,adjective,substantive
102,adjusted,verb,skew
103,adjusted,adjective,unadjusted|maladjusted
104,admired,verb,look down on
105,admissible,adjective,inadmissible
106,adnate,adjective,connate
107,adoptable,adjective,unadoptable
108,adopted,adjective,native
109,adoptive,adjective,biological|native
110,adorned,adjective,unadorned
111,adroit,adjective,maladroit
112,adscript,adjective,superscript
113,adsorbable,adjective,absorbable
114,adsorbate,adjective,absorbable
115,adsorbent,adjective,nonadsorbent
116,adsorptive,adjective,nonadsorbent
